tweet,labels
 babyy moaaaanin  got zonenn want bitch next  pussi like ecstasi  ,Offensive Language
 beat pussi till red like roster fuck get moovin like hoova  ,Offensive Language
 love stress niggah ,Offensive Language
 bitch caught bodi week ago  fuck us get tweekin hoe  run niggah get ,Offensive Language
 broke tf outta niggah   stop playen defen,Offensive Language
 caus hoe aint loyal  niggah aint either  go callin hitta aint ,Offensive Language
 caus hoe aint loyal  nigga aint either   go callin hitter ,Offensive Language
 club solo  deep  fuck valet caus park street  lordddd know  cant trust hoe  ,Offensive Language
 dont ask im  feel  caus aint bitch dont got tf  im sad  fuck feel ,Offensive Language
 dont sleep niggah chood  charleyhood ,Hate Speech
 elza jone whipppppppen drift last night lol tu niggah ,Offensive Language
 entertain flirtin ass niggah want  gon yo niggah friend ass  ,Offensive Language
 freshman year senior year  realli niggah start brother  year ago today  crazi ,Offensive Language
 fuccccck niggah cali swag  rip jayar ,Offensive Language
 fuck right pussi ,Offensive Language
 fuck first night dont make hoe  ,Offensive Language
 get head twitter niggah bracken  ima babi momma killa  yo bitch get  ,Offensive Language
 got niggah salti meeeee caus yo dream bitch main slide ,Offensive Language
 happppppi birthdayyyi  lol  niggah realli  bitch   ,Hate Speech
 happi birthday main niggah right  minut dream bein rich ,Offensive Language
 hate femal got mental niggah ,Offensive Language
 ever sex ina cherri red vet witha fat trap niggah keep pussi sooo wet  ,Offensive Language
 hoe mind  fuck hoe time  fattrel,Offensive Language
 aint trippen caus like anyway  got niggah got girl anyway  yea anyway ,Offensive Language
 aint trippen mo  done drop  knock   could neva foo hoe  put ,Offensive Language
 dont like niggah like  yo bitch   na ill check idc  mine ,Offensive Language
 fw niggah everyday  neva chang  alway niggah  thru shit niggah ,Offensive Language
 guess niggah believ ya proof ya  name lot thing man wont ya ,Offensive Language
 hate  guesss tri talk mee  ass bitch ,Offensive Language
 feel like mouthpiec cold  ill give lesson everi niggah ever got turn  low cost   hmu ,Offensive Language
 know know know  street fuck strong  bitch gon fuck money ,Offensive Language
 rather jack fuck hoe tbh  shit bore give wife ,Offensive Language
 realli dont give fuck  start  got hoe  fuck bitch  shit im delet yo ,Offensive Language
 still dont got time bitch actin iffi  ,Offensive Language
 thinkkk shee know   maaaa otheeeeeeeer bitch  ,Offensive Language
 told niggah maya angelo die niggah gon ask  red ninja turtl   wtf ,Offensive Language
 took bitch set  yo bitch get around set  dick bitch set  yo ,Offensive Language
 never date femal anoth niggah name lol  wtf ,Offensive Language
 wonder femal ever sit around think bout yall hoe unfaith yall realli ,Offensive Language
 wouldnt bring girl around nobodi leo  niggah know wouldnt mess ,Offensive Language
 im hard kill   im countin cake finest bitch   take makeup still look like finalist  ,Offensive Language
 im gon ever niggah hit  like everi pictur  get whoever want period   ,Offensive Language
 im niggah show public babbbbbbyyyy  lol,Offensive Language
 id rather sit hous day jack bust mission liter chill bitch  ,Offensive Language
 idk niggah give femal head throw condom lmaooo niggah alreadi ate whole std ,Offensive Language
 ever put trust ina bitch  ill alway hurt  ,Offensive Language
 ever put trust ina bitch  ill alway hurt  ,Offensive Language
 ug ass niggah   tf chuu baka anyway niggah look like ,Hate Speech
 yo new niggah cant dress better  even close look better  dnt tri make ,Offensive Language
 get yo girl took dont mad niggah  mad  caus dont owe loyalti  ,Offensive Language
 ima kill pussi straight murder shit  ima eat  eat  eat  lick till slap  aye  ,Offensive Language
 ima pull  eat pussi dip  ,Offensive Language
 ima real young niggah witha muhhfuckin attitud  walk im yo spot would think niggah mad ,Offensive Language
 ima young rich niggah tryna fuck niggah bitch  ex rat naybahood fuckin bitch   ,Offensive Language
 indiana niggah tell muhhfuckin grammar  swear got  hoe like im santa  ,Offensive Language
 jodi  niggah got boo pregnant  niggah cant take respon ,Offensive Language
  want nobodi el textinginboxingkikingdmingsnapchattingemail yo girl niggah ,Offensive Language
 old  lil proton feel  bitch gon feel  niggah wont kill ,Offensive Language
 lemm find didnt answer call caus otp niggah ,Offensive Language
 leo apolonio look niggah drive bike ,Offensive Language
 look ex profil struggl weak ass niggah  god good ,Offensive Language
 niggah alsina doin thang  ,Offensive Language
 make niggah buy ring ya finger   jimmi ya feet  jean back  lingeri ,Offensive Language
 mann hoe get nothin   dick instruct   mee fucccccckn  said ,Offensive Language
 mannnnn wake yall bitch ass blood ,Offensive Language
 charger got fuck  finna wrap cord tf around phone bitch finna charg today cuhz  ,Offensive Language
 babi mama trippen bitch shoot  ,Offensive Language
 nah aint hoe niggah  bitch niggah  rich niggah shit niggah getchu chip niggah ,Offensive Language
 niggah said  girl limit thirsti niggah stay inbox  bitch look like kunta kint ,Offensive Language
 niggah stay thinkin want girl  nevvvvva niggah ,Offensive Language
 feelin hoe aint main thang  niggah thang  niggah gangbang  ,Offensive Language
 g like stop controllin  im like bitch fuck thought  like niggah fuck mean ,Offensive Language
 ok texa bitch keep textin  callin cryin stressin  bout anoth bitch alleg  ,Offensive Language
 ok texa bitch keep textin  callin cryin stressin  askin anoth bitch alleg  ,Offensive Language
 twitter say ridin niggah   realli fuck  pull trigger  ,Offensive Language
 rip deshawn   dont know know darkskin niggah hood name deshawn get shot tonight ,Offensive Language
 ran good game royal niggah ,Offensive Language
 said aint neva love bitcccccch  bitch steadi lovin  ayee  ,Offensive Language
 see gotta get money palm itchin  niggah gossip like hoe bitch ,Offensive Language
 shawti wanna tell secret rap niggah  tell bitch attract hold  ,Offensive Language
 drippen vanillaaaaa  know im pussi killaaaa  ,Offensive Language
 herd dope boy  herd gold digger   know real bitch  fuck like real niggah ,Offensive Language
 love talk crazi  suck niggah dick  whole lotta spit  let drip  yea catch ,Offensive Language
 mad like  min got hit right back lol care niggah  ,Offensive Language
 somebodi come look niggah right  kevin hart voic  lol ,Offensive Language
 someon let know drake cold   favorit rapper  niggah hard ,Offensive Language
 south central niggah realli dont lovin hoe  hoe dont lovin niggah   ,Offensive Language
 fb profil checker thing fake mf  ad bitch yesterday top  fuck fr ,Offensive Language
 one niggah grab aux cord start playen weak ass music  ,Offensive Language
 hoe finna like  owie trey  august  chris brown babi time   lmfaooooooo hoe aint loyal ,Offensive Language
 niggah bitch call momma tell come getemm  either shoot shoot whoever ,Offensive Language
 niggah kevin hart couldnt sit lmaoooooooooooo niggah niggah ,Offensive Language
  cuh went  time settl   hoe     ,Offensive Language
 niggah yanni like hangin niggah mid sentenc  ,Offensive Language
 niggah pharrel whatev niggah name dont deserv shit white ass gay song ,Hate Speech
 runnin  fade niggah tyreon  leo kod lmfaoo,Offensive Language
 waaaaittt niggah holllllup  niggah come town start wifen old slut  ,Offensive Language
 wake im bless  steaight kush stress  thankin god success  bitch say im best  ,Offensive Language
 bestf shyanna pen main niggah ronni jackson iii  movi bound pick homi,Offensive Language
 yall complain thirst trap  fr  model dress like  ass stfu  dont make hoe wtf ,Offensive Language
 yall hoe get turn reason  like  owie got tat  bang  wifi password  ,Offensive Language
 yall like sayin money dont buy happi  name niggah sit lambo cri ,Offensive Language
 deserv x august alsina  im dedic old side hoe  ,Offensive Language
 gottttta mad madddd niggah  sayin name  mustv got madddddd niggah ,Offensive Language
 messin broke niggah gon broke niggah ,Offensive Language
 niggah actin like hoe  sale  ,Offensive Language
 tall tree ass femal  talkin bout  catch feel   bitch need catch touchdown ,Offensive Language
 come pussi fuck friend  hostel iii realli watch right,Offensive Language
 good jeter hero yank sendoff  via espnnewyork,No Hate and Offensive
caus aint rt jvbir aint eem watchin award yet hoe hatin kim k,Offensive Language
damn whitey youll get kick newest form white privileg ,Hate Speech
eff let go  see wendi davi new attack ad  ,No Hate and Offensive
everi bitch got fat ass  rns,Offensive Language
forget salut trash guy bad war cairo ii sympath w pockistan gay hurt moral thank king,No Hate and Offensive
scandal sex scene air abc right great pumpkin char brown make parent angri ,No Hate and Offensive
view  gon instagram pictur titl whilebrac yaself nig,Offensive Language
drown ur pussi swam  easili eloqu messag sent xbox live,Offensive Language
uturn yellow  aceptar est luz rojo  light take long make bilingu ,No Hate and Offensive
cont also provid color sticker place nametag member indic prefer pronoun,No Hate and Offensive
look oomf rt shethepet pretend bitch realli work nah,Offensive Language
via jacklayton char angus send   canadian flag pin back conserv  ,No Hate and Offensive
bow yes bitchmast bitch,Offensive Language
backflip thissssssss rt krisli nigga switch opinion like faggot,Offensive Language
gigant rt naezus big faggot rt milliondolrbabi chubb bout earl,Offensive Language
nicola cage unrol dusti secret scroll say jame madison whini littl bitch,Offensive Language
search yellow page app nearest jack box,No Hate and Offensive
sing kill pussi die eye open,Offensive Language
teacher call pussi senior skip day,Offensive Language
 rt thegodwrit idoclyf bruh lol retir  everyth trash afterward,No Hate and Offensive
bitch breath could,Offensive Language
chop rt  bird call flap hand,No Hate and Offensive
goe oliv gardenturn crackergiaci goe black friday shoppingturn nigger,Hate Speech
karat rt sirasshol karrenchi still bird ass bitch,Offensive Language
live  lol wrong bitch man ,Offensive Language
loud jamaican horn  rt kinghorsedick u still singl rt greekoddess yall find ugliest hoe attract,Offensive Language
make wise argument accel warholian notion celebr era vine pass teen mock old wrinkl ball,Offensive Language
pop pussi singl,Offensive Language
pregnant crazi bitch wus answer look,Offensive Language
put peoplebitch face,Offensive Language
rub hand like bird man,No Hate and Offensive
scroll fb hoe say need man  cuddl cold bitch nobodi wanna touch ratchet ass,Offensive Language
squak squak squak squakm bird shut upsquakalex act defianc alextalksback,No Hate and Offensive
wait fanduel hit jig,No Hate and Offensive
  rt raythagawd  joe budden make peopl delet twitter account  hes pussi tho block,Offensive Language
 otakon badg im go love refer crippl ribbon,Offensive Language
kirogx gusta type like retard make person look dumber pretend agr bazinga,Hate Speech
musclezaub anim cracker want anim cracker shape like master chief troll gun shit thatd rule,Offensive Language
gtrt maxinbetha humbltonbank ankl sock general faggot bro,Hate Speech
 rt lovemedarlingg  mani hoe realli,Offensive Language
help youmayb gotta card  tranni die motel room wife know  appleb gift ,No Hate and Offensive
 histo requir soundcloud link tumblr bitch might let play parti,Offensive Language
 feel bad women continu flock dark thug talk big talk simpl mind hoe,Offensive Language
 bitch catch feel damn time,Offensive Language
 lol nah hoe dealt yall  ,Offensive Language
nobodi sell orang flavor color bubblegum fuckin problem giant fuck im go ,Offensive Language
tweet tabletb bitch,Offensive Language
aaaaaaaaand begin rt rileydakafka fuck nigger kentucki ever,Hate Speech
im goin back school hoe class two,Offensive Language
show obama call whitish yall motherfuck would cri racist like lil bitch blackish,Offensive Language
amber rose rock bald head bald pussi motherfuck,Offensive Language
white arent roll eye rt didntdonuffin dreaaalov rip nigga trayvon worthless spear chucker,Hate Speech
alysssmithh keve yes ind camel ostrich zebra sept   vccamelrac,No Hate and Offensive
aussiegrit love austin  webber boon fiawec ,No Hate and Offensive
 realli talk like buck nigger,Offensive Language
corybook run around town deliv food peopl take trash perfect boyfriend,No Hate and Offensive
hoppykerchev could play  minut char brown wah wah wah adult sound effect instead,No Hate and Offensive
rashaansalaami  alway feel like go season offen concept inevit trash get good,No Hate and Offensive
sarahpalinusa wow impeach look use vocab workshop word guess half wrong dumb cunt,Offensive Language
straatvogel  homeless peopl twitter amsterdam  via ,No Hate and Offensive
therev hey race bait fbi inform bitch punk ass speak justic ,Offensive Language
  travelnevada tri visit thewashoeclub night real spook,No Hate and Offensive
dawnbaz thank dawn see state bird grace avatar,No Hate and Offensive
 klain real sole job dampen mushroom bad pr polit fallout head nov elect,No Hate and Offensive
harmonicab could wear trash bag shed still stylish coolest human know,No Hate and Offensive
nathirhussein al qaeda market share drop faster viacom amp enron jihadi stock market,No Hate and Offensive
reddroostermann love obama unrequit howev obama clear putin bitch,Offensive Language
rustyrocket putin push land china complet revamp arm forc fuck retard stay countri,Offensive Language
 babi momma bitch wife like pac u need thug ya life,Offensive Language
 good girl worth  hoe,Offensive Language
 loyal girl gt  hoe,Offensive Language
 day bitch,Offensive Language
 game  im finish new book  john grisham cold hoe,Offensive Language
 thang know bitch come n go keep em bussi,Offensive Language
 time lone hoe watch scandal run,Offensive Language
 rt naeluckyass ilovebigtraci therealalonig im cross eye im albino cant control,No Hate and Offensive
 vader sith jedi duh  vader also whini bitch  yoda motherfuck yoda micdrop,Offensive Language
      drunk walk  drive got bitch night parti  start til drug arriv load,Offensive Language
 semievolv monkey desper search valid mean life bbqd youd ok mango salsa,No Hate and Offensive
,No Hate and Offensive
 pretti close   trash ass   quot ill guess bodi ,Offensive Language
 rt paradoxicalmik  rt idavey averag   need sinsofmyfath scale  ghetto u,No Hate and Offensive
 day til christma bitch,Offensive Language
 mile dead zone radius around phillygotta go ny dc rt ceeross tri state need better bitch,Offensive Language
   yea like money order bad asian bitch yea look like kemora,Offensive Language
 mil rt soomajor caus romo bitch ass dez amp witten eat,Offensive Language
 w anjahlamari  depot   pussyfootin xxxmas hoe hoe hoe motherfuck santa claw come town,Offensive Language
 oz arizona trash,No Hate and Offensive
 like block bitch  dont start bdoulaoblongata block us ferguson ,Offensive Language
   homosexu,Offensive Language
 egg sunni side nicca  eastsidedam,No Hate and Offensive
 twitter ever get pussydick,Offensive Language
 year old pussi tast like hope,Offensive Language
 yr scrap might get life prison murderin nort nigga el pollo loco stori ,Offensive Language
 im killin hoe,Offensive Language
  world seri rematch yank brave,No Hate and Offensive
  yellow tower gilbert clae ,No Hate and Offensive
 game fall  finna kill hoe,Offensive Language
 come get sign bitch self paid,Offensive Language
 iubb game im bloomington btown good ncaa basketb colleg indiana iu hoosier,No Hate and Offensive
 adult human skull found trash ,No Hate and Offensive
 bad bitch  glock  choppa,Offensive Language
 beer queer,Hate Speech
 face bitch,Offensive Language
 hoe  dyke,Hate Speech
  hoe everyth ,Offensive Language
 thang bitch cant say im broke n ha period late,Offensive Language
 year start street put fag funnyguy,Offensive Language
 know wtf bitch,Offensive Language
 senior chill fuck year senior basic ass bitch,Offensive Language
 tweet hoe id like thank support fan  tweet come,Offensive Language
 bitch bitch hella chillin also thank toler friend,Offensive Language
 talent driver rt garrisonstudio realli glad havent yellow havent yellow,No Hate and Offensive
 mad cuz twan fuck  ,Offensive Language
 flappi bird suck dick lick ball swag,Offensive Language
 real af temptat exact nigga get money bitch,Offensive Language
  use email address chat line bitch hittin ,Offensive Language
 coach retard would put  point guard  tho,Offensive Language
 millionair walk trip bitch paid fight  lmao,Offensive Language
 thing cant stand deal bitch hit feetb stank ass breathc skank ass way,Offensive Language
 year today fuck retard fell love stupid wish coldheart neverlovingsomeoneagain dontneedanyon,Offensive Language
 bitch fuck wid,Offensive Language
 min  n grecojoel pick trash  meijernow u guy understand took  shot trip,No Hate and Offensive
 bitch hot done took flight ,Offensive Language
  clockmichigan hoe,Offensive Language
 dont like hoe,Offensive Language
 fat hoe ina caddilac u tell jus lost dey luxuri car ride virginityho happi lmao,Offensive Language
 old hoe ponk dyke outchea girl talk,Hate Speech
 stack heel bitch feet car seat still smellin like  key tell plug im lookin increa,Offensive Language
,No Hate and Offensive
 min bitch drop,Offensive Language
 know ya bitch kendricklamar,Offensive Language
 rt mayaangeloufro beat pussi like snitch serv time state correct facil  year,Offensive Language
 long bitch,Offensive Language
 bag chip  rice krispi  seed  gummi pop tart cracker  powerad water yuhhh im good lol,No Hate and Offensive
 white men pick truck scream nigger coach got nerv get mad miss free throw ,Hate Speech
 still awak yay time chug coff red bull fores futur hope pass behind wheel,No Hate and Offensive
 trash,No Hate and Offensive
 whizz cracker cat got ritzcrack amp play hockey lolcrazycat ,No Hate and Offensive
 ug thot bitch shoe,Offensive Language
 like come hang us u fug oh side hoe left thnx,Offensive Language
 user follow unfollow prude ass hoe,Offensive Language
  hoe fatim big bonedheheheheh,Offensive Language
  bout match wit dis nicca donnydinero,Offensive Language
 pound never fail make cri im bitch relat,Offensive Language
 year later bitch still didnt learn lesson lol rememb first major nude leak generat,Offensive Language
 need hurri  chilli bitch,Offensive Language
 girl u went hs look horribl dont wanna believ itim bout piss facebook hoe,Offensive Language
 mo govjaynixon let  cracker kill babi new black panther hijack ferguson presser ,Hate Speech
 speci bird report chesterfield great backyard bird count mani area ,No Hate and Offensive
 speci bird report chesterfield great backyard bird count mani area ,No Hate and Offensive
 percent yo bitch  percent scrap,Offensive Language
 nigga goofi act like bitch,Offensive Language
 featur   yellow black featur car buck tag radiat support  mile ,No Hate and Offensive
  got miss call yo bitch,Offensive Language
 truli talent peopl ive come across retard profess  aw untal peopl point polit,Offensive Language
 percent trash dump sea miss good thing   ,No Hate and Offensive
 problem bitch aint ,Offensive Language
 problem bitch aint one,Offensive Language
 peterdavidsonii point need discuss delici vegan browni busboysandpoet u st tast,No Hate and Offensive
 well suck kobe hes still filthi hate u want dont respect ur retard,Offensive Language
gt rt kylegotjok good pussi come price tag,Offensive Language
 bitch,Offensive Language
 tho  bitch want includ fuckin bald ,Offensive Language
 chick gorgeous fine pussi stink,Offensive Language
 person signif hoe cheat,Offensive Language
 bitch use whiper,Offensive Language
 hick yes,No Hate and Offensive
  happen get pussi pussi twitter seem like clear cut choic hahahaha,Offensive Language
 char sheen could coach better crusti dusti yeah hire bryan price pitch coach,No Hate and Offensive
 bet hes starbuck queer,Hate Speech
 huntermoor bitch gross fuck touchin saggi titti,Offensive Language
 could fuck bowl graham cracker cereal,Offensive Language
 bitch caught bodi week ago everybodi catch bullet hole,Offensive Language
 hard qa time also pain mock unit test,No Hate and Offensive
 bitch,Offensive Language
  denisgorman noth like wait till last game season peddl shit websit heeb,Offensive Language
 fucktyl fug loo hoe,Offensive Language
 blessjesus yesfeltand touch sole human stain impress leav reflect,No Hate and Offensive
 booksofgodwidom proverb  also laugh calam mock fear cometh,No Hate and Offensive
 holyspirit god still share secret amo  bless jesus,No Hate and Offensive
 jesus genesi  ground lord god form everi beast field everi bird sky initi,No Hate and Offensive
 bitch fuck told sit seat yo dumbass come say sit bitch ,Offensive Language
  fag,Offensive Language
 iamadamg  bitch bitch,Offensive Language
 fuc pussi nasti ,Offensive Language
 mayb crow obama democrat mawbarmight well republican,No Hate and Offensive
 amp foolish proud selv roll eye pretend dont see mock laff arrog attitud,No Hate and Offensive
 whip mommi belt arrest black woman real nigger yet got want death,Offensive Language
 aint real nigger oh bad real nigga prai sonsof satan realnigg qualitati im hate,Offensive Language
 wonder run nose first yo real nigger amp white devil massah man point anoth convinc u less,Offensive Language
 cri lost pussi emot sissi get amp front hoe simpl mind amp point brotha like,Offensive Language
  bitch need tan,Offensive Language
 marlinfishyass old ratchet hoe bruh,Offensive Language
 pussi,Offensive Language
 yu ah hoe,Offensive Language
 wonder char brown would say day,No Hate and Offensive
 good enough fag,Hate Speech
 littl bitch ass get tase get home,Offensive Language
 haha still littl bitch though ,Offensive Language
 bc shes cunt hoe bag,Offensive Language
 look like plastic monkey doll,No Hate and Offensive
 lmao  excus bitchi soundcloud,Offensive Language
 go cunt somewh el,Offensive Language
 moneydriven stfu hoe fuck answer smack shit outta faggot aunt,Offensive Language
 glad im still tri figur emoticon damn motorola give bitch finger,Offensive Language
 trash im kickin yo ass,Offensive Language
 remind oreo lmao,No Hate and Offensive
 bitch far fuck us got el gran pollo way serv us well lexgraci,Offensive Language
 iycmi cant get work done keep showin bitch,Offensive Language
 ima act like hit hoe pass like earlier,Offensive Language
 fag rhyme gag,Offensive Language
 fuck tonyyou greaseb piec shit,Offensive Language
 u said  hoe ,Offensive Language
 hoe,Offensive Language
 jezzzz gone die aint playin dawg bitch gone ruthless ,Offensive Language
aaroncart push wall slowli take panti write alphabet ur tongu tight pussi,Offensive Language
abc time amend  amend written protect newli freed ex slave live purpo time end anchor babi loophol,No Hate and Offensive
abcrispyyandi laugh oreo ladi gaga sunday day,No Hate and Offensive
acmobbdeep madsbennett yeah run squirrel coon,No Hate and Offensive
achussl bitch hoe dont surpri,Offensive Language
agreasymonkey huntermoor faggot,Hate Speech
 ashactu hey dont alway go sometim three crazi bitch one suav mfer trick go,Offensive Language
 watch llewyn davi doc warm fuzzi abound ,No Hate and Offensive
alaquannd laugh hoe,Offensive Language
 beauti bride tell erica congrat rememb nig,Offensive Language
aprivileg lmao brutal nig cant get job lol,Offensive Language
asaprocki huhwhatsacondom sigh  bitch im woman learn differ  know im fat  call scarf dumbass,Offensive Language
asipofmocha dr phil im troubl figur fat ass want eat drink bitch,Offensive Language
asourappletr heard hillbilli grous bug much wor kv sinc mic shut,No Hate and Offensive
 clean entir fuck weight room look like tornado went bitchcmon franklin franklinprob,Offensive Language
alittlewick ghetto sweet movi quot tri,No Hate and Offensive
amperez littl bitch proven wrong momsdemand gunsen,Offensive Language
aaronkeplin shut bitch,Offensive Language
  bruh im  blanket like bitch right,Offensive Language
abelsmasochist ghetto tho live hood ghetto fact,No Hate and Offensive
abrehamdadi bitch,Offensive Language
abstractlif man much damn giggl go offer  tip shit lol think even heard bitch spit coupl time,Offensive Language
abstractlif two trash ass pass know damn well saw   santo game,Offensive Language
abstractlif yeah cant lie tho spit cop car right bitch ass feel damn good,Offensive Language
abusivemen fuck pussi,Offensive Language
acaciabrinley crusti hoe,Offensive Language
 doubl game bitch,Offensive Language
acehudsonjr bitch tryna take money g,Offensive Language
acewuzh talk  almost   friend pussi,Offensive Language
actabunnifoofoo like gross yellow heat lamp,No Hate and Offensive
actuarialreport weve tri time go sit silenc cri like bitch sweat,Offensive Language
adambaldwin chicodelainki clam comedi writer untru,No Hate and Offensive
adambaldwin realli bro retard sentedcruz even miss point greeneggsampham mean dont knock til ya tri,Offensive Language
adamharmon jeffjeffallen yeah tht bitch aint gay brah chill,Offensive Language
adamschein themayormatt may cri tad illmissu shiner,No Hate and Offensive
 rt  snapchat got hack hoe explain ,Offensive Language
adolfhibsta ive seen number bitch say thing loo pussi lol ok,Offensive Language
  ghetto name ,No Hate and Offensive
 nigglet ,Offensive Language
 imma bitch know  leav alon,Offensive Language
 dont hoe hoe snapchat,Offensive Language
 hell yeah got bokoo hoe fro,Offensive Language
ajkfan big congrat expect blog rube chat day get sleep need,No Hate and Offensive
alanmiln morningjo alqueda doesnt use cell phone internet wow teabagg stupid,Offensive Language
alancasilla bitch wat,Offensive Language
alancasilla haha shit niggah wish,Offensive Language
alancasilla lol bitch riversid la ahah,Offensive Language
alancasilla nah thought u bitch lol didnt know peter girl one lmao,Offensive Language
alancasilla niggah lol  beer went bar  beer bar got  way home lool,Offensive Language
ale bitch u love,Offensive Language
alejandrobihhh capodaasshol text bitch,Offensive Language
alejandrobihhh capodaasshol im hoe like everi night tweet bullshit,Offensive Language
alejandrobihhh capodaasshol lol caus hoe love,Offensive Language
alejandrobihhh capodaasshol yall niggaz aint never listen slow shit bitch,Offensive Language
alejandrobihhh lmaoooo hell naw bro havent seen hoe,Offensive Language
alejandrobihhh lol bout say shit incom tax im tryna find bitch coupl week,Offensive Language
alexalltimelow jackalltimelow plea stay safe guy love much hoe one day meet guy happi halloween ,No Hate and Offensive
alexdunlapnfl bdoeklbj evil son bitch deserv everyth come,Offensive Language
alexschnid niiic nigga schinder pullin hoe,Offensive Language
alexadels bad bitch wonder manner go,Offensive Language
alexadels karma bitch,Offensive Language
alexisdiamond bitch stop fuck playin know wtf im talkin,Offensive Language
 niggah lie ,Offensive Language
alfieheydrich seen pic nig rob store caption saidprotest gos fergerson lol dont like pig either wtf,Offensive Language
alfieheydrich live south lot pop live rhode island hard nigger,Hate Speech
 basic like background music fag,Hate Speech
 hoe trash,Offensive Language
alissawasher trippin bitch ,Offensive Language
alleyesonki  real rap fuck bitch lay day realli disrespect like bitch u couldnt feel throw ,Offensive Language
allfucksgiven like hoe gettin dick day tonight gettin,Offensive Language
alliebrun stop mean bitch ,Offensive Language
alliebrun main bitch,Offensive Language
allielexilov like dark light carmel white red tan yellow blue purpl green doesnt matter color,No Hate and Offensive
alludraai rememb keep skirt dark color camouflag pan dimens gore,No Hate and Offensive
almightyvinni  richhomiemeezi hoe hous  toni spot mf,Offensive Language
almightywoo said got workout pussi,Offensive Language
alysiarianh cambreezi dont call buddi cambron retard man smh rude,Offensive Language
ampowerblog least agr whine like littl bitch someon threw phone absolut hilari,Offensive Language
ampowerblog haha say littl bitch let someon take phone real man wouldnt let happen littl bitch would,Offensive Language
ampowerblog man pussi coward overpow easili took clear much less man,Offensive Language
ampowerblog incess whine like worthless littl bitch funniest thing happen weekend man,Offensive Language
amandabyn yea alway look niceal monkey face women see around santa monica look better natur beauti dontbedumb,Offensive Language
amandashow bet good pussi,Offensive Language
amazinmixbeauti dont feel like read right wanna give sexi cooli girl lyric via text messag ,No Hate and Offensive
amazinmixbeauti wanna gimm babi look coolieit might could work lol,No Hate and Offensive
 im trash,No Hate and Offensive
americaanti dismiss bitch mood fucktard morn block ,Offensive Language
americanmirror praedor cop bitch slap wanna b st thug got tm got dead see dont slap cop r law,Offensive Language
americanwhitehm hate nigger,Hate Speech
americanwhitehm nigger disgust dealt  year ago wouldnt problem,Hate Speech
americanpi bitch would rather fuck poster damn cold,Offensive Language
amireldouh  ali hoe,Offensive Language
amizzyy lol hoe number,Offensive Language
amoranjel right  come  wait anoth  month  naaaawwwww  could pimpin hoe lol,Offensive Language
amosporr congrat amo ,No Hate and Offensive
anuglynigga retard,Hate Speech
anastasiapacana  stfu think ug hard look get fuck chat faggot block oct  ,Offensive Language
andreberto cant wait ped roid munch faggot,Hate Speech
andreaaolvera prego bitch,Offensive Language
andreaaolvera shut fuck hoe ass bitch fuck squirtin ass cunt hoe,Offensive Language
andreaaolvera smd bitch,Offensive Language
 tommyrussel homo ass cracker,Hate Speech
 would got dat new monopoli wit da cardsil hold n see hoe let nigga swipe credit,Offensive Language
andrewtaran nice color combo love blue yellow,No Hate and Offensive
andyherren aarynelizagri cri babi bitch,Offensive Language
andyheybro distant chug end dri remain perfect heavi guitar ever record,No Hate and Offensive
anellesofia didnt call bitch saiddd bitch jeesh,Offensive Language
anellesofia spook shit,Offensive Language
 aint nobodi offend u fuckin peckerwood despi good white ungrat honkey,Offensive Language
angrywillhelm genius polit correct term would intellectu disabl high offen use word retard,No Hate and Offensive
 fight   ur choic game faggot see happen,Hate Speech
anitafarid angjli lmao  side ho get real action anyway ,Offensive Language
 principl ghetto elementari school doubt finger ,Offensive Language
 turntol tweenki wrong nigger alway causung mischief among ur peopl,Hate Speech
anotherpotheadd lucki monkey,No Hate and Offensive
antdgk  chainskibum would faggot surviv tj,Offensive Language
anthonycumia total correct anthoni  livin round dem color folk day bringin da hood dem properi valu,Hate Speech
anthonycumia cokelog hey antoni speak color good,No Hate and Offensive
anthonycumia enjoy itim happi youbut hate yankeesand yes sox choke,No Hate and Offensive
anthonycumia dont bitch power goe like last time,Offensive Language
anthonycumia pussi,Offensive Language
antiheroko bitch foh,Offensive Language
antoniofrench  go   kill cracker amp  new black panther credibilityshot fergusonriot ,Hate Speech
antssneweath well got see pompom pete,No Hate and Offensive
apevontarskin smdh anoth bitch,Offensive Language
apevontarskin fuck u ug ass bitch,Offensive Language
appleciderpapi ogbeard godievel nah u fag,Offensive Language
 marcospatula invit fag,Offensive Language
 class nig,Offensive Language
arbogucci guy suppo get ass suck queer,Hate Speech
 everybodi mock obama hes embarrass usa,No Hate and Offensive
arcticn yeah bitch aint shit tho,Offensive Language
areohhb bitch see bitch good luck,Offensive Language
areohhb bitch join fuck armi us around bitch like fuck rob go fuckin armi,Offensive Language
aritweetz lol na bitch like crazi good ,Offensive Language
arianagrand bitch cumwiththewind,Offensive Language
ariestheog cut bitch,Offensive Language
arlisdonotchil  bitch wit sammich,Offensive Language
artalegaspar bitch got flamee,Offensive Language
artbylecardin  deeiigg world see  faggot jungl bunni fuck one got pregnant,Offensive Language
artbylecardin deeiigg   note im dis bitch,Offensive Language
articulateaura bitch dont know wanna play basketb look sexi bro,Offensive Language
articulateaura bro know cant comment stupid shit like thatbitch instagram heart attack plate,Offensive Language
aryanliv welcom movement anyon get even minor public queer fed jew well accord internet,Hate Speech
asaptwelvyy bruh bruh bitch aint loyal ,Offensive Language
